0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/open-sans/fonts/open-sans-v13-latin-600.woff2 HTTP/1.1" 200 10328
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/open-sans/fonts/open-sans-v13-latin-700.woff2 HTTP/1.1" 200 10284
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/open-sans/fonts/open-sans-v13-latin-regular.woff2 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/partials/nav-tabs.html HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/ws/app/info HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:55 +0530] "POST /School-Information/ws/rest/com.axelor.meta.db.MetaMenu/search HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:55 +0530] "POST /School-Information/ws/action/menu/tags HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:56 +0530] "POST /School-Information/ws/action/student.all HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:56 +0530] "GET /School-Information/partials/views/form.html HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:56 +0530] "GET /School-Information/ws/action/menu/all HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:56 +0530] "POST /School-Information/ws/meta/view HTTP/1.1" 200 4782
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:05 +0530] "POST /School-Information/ws/action/menu/tags HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:19 +0530] "POST /School-Information/ws/action/menu/tags HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/ HTTP/1.1" 200 9242
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/css/application.css HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/underscore/underscore.js HTTP/1.1" 200 41426
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/js/messages.js HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/underscore/underscore.string.js HTTP/1.1" 200 20874
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/moment/moment.js HTTP/1.1" 200 393597
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/jquery.ui/js/jquery.ui.mask.js HTTP/1.1" 200 16818
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/jquery.timepicker/jquery-ui-timepicker-addon.js HTTP/1.1" 200 78474
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/jquery.ui/js/jquery-ui.js HTTP/1.1" 200 450133
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/slickgrid/lib/jquery.event.drop-2.2.js HTTP/1.1" 200 9344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:12:21 +0530] "GET /School-Information/lib/slickgrid/slick.grid.js HTTP/1.1" 200 101993
